SPECIES,DATEPLANT,LAT,LONG,COUNT,UNIQUE,COLOR,HEIGHT,DIAM,TOTAL,YEAR,PLANTED
MALUS 'REDBUD',2016,42.6933239,-71.14921983,5,MALUS 'REDBUD',1,15 to 20,4,25,2015,null
MALUS 'REDBUD',2016,42.69329308,-71.14916501,5,ACER RUBRUM ARMSTRONG,2,15 to 20,4,64,2016,1740
MALUS 'REDBUD',2016,42.69329867,-71.14944508,5,LIRIODENDRON TULIPIFERA,3,15 to 20,4,324,2017,3855
MALUS 'REDBUD',2016,42.6932696,-71.14948288,5,LIQUIDAMBAR STYRACIFULA 'HAPPIDAZE',4,15 to 20,4,121,2018,9614
MALUS 'REDBUD',2016,42.69326766,-71.14954238,5,METASEQUOIA GLYPTOSTROBOIDES,5,15 to 20,4,36,2019,3647
ACER RUBRUM ARMSTRONG,2016,42.69348549,-71.14837597,8,CLADASTRIS KENTUCKEA,6,15 to 20,4,256,2020,3782
ACER RUBRUM ARMSTRONG,2016,42.69354538,-71.14840014,8,ACER RUBRUM 'RED SUNSET',7,15 to 20,4,16,2021,1862
ACER RUBRUM ARMSTRONG,2016,42.69360522,-71.14841043,8,PLATANUS ACERIFOLIA,8,15 to 20,4,3721,2022,3623
ACER RUBRUM ARMSTRONG,2016,42.69367433,-71.14841905,8,GLEDITSIA TRIACANTHOS,9,15 to 20,4,5776,2023,null
ACER RUBRUM ARMSTRONG,2016,42.69373393,-71.14842868,8,PRYUS CHANTICLEAR,10,15 to 20,4,1,,
ACER RUBRUM ARMSTRONG,2016,42.69379586,-71.14843734,8,ULMUS AMERICANA,11,15 to 20,4,7056,,
ACER RUBRUM ARMSTRONG,2016,42.69392407,-71.14845205,8,PLATANUS OCCIDENTALIS,12,15 to 20,4,64,,
ACER RUBRUM ARMSTRONG,2016,42.69385946,-71.14843824,8,CELIS OCCIDENTALIS,13,15 to 20,4,4,,
LIRIODENDRON TULIPIFERA,2016,42.69432261,-71.14871069,18,GYMNOCLADUS DIOICUS,14,15 to 20,4,289,,
LIRIODENDRON TULIPIFERA,2016,42.69427243,-71.1487753,18,ACER RUBRUM,15,15 to 20,4,1521,,
LIRIODENDRON TULIPIFERA,2016,42.69420695,-71.14882066,18,QUERCUS RUBRA,16,15 to 20,4,729,,
